Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	5090.9	16436.4	8062.5	11345.5	0.459	59
Lockdown	15017.6	16431.8	15468.8	1414.2	0.515	49
Lockdown	4123.7	16412.4	11625	12288.7	0.56	52
Pre-Lockdown	7173.5	16396.7	11230.5	9223.2	0.825	417
Lockdown	8862.1	16393	11625	7530.9	1.771	60
Lockdown	14283.8	16392.4	15000	2108.6	0.253	17
Lockdown	5577.5	16392.4	7406.2	10814.9	0.693	69
Lockdown	8890.4	16385.4	11812.5	7495	0.705	45
Pre-Lockdown	8428.4	16383.4	12346.5	7954.9	0.201	88
Pre-Lockdown	5456.1	16368.2	15625	10912.1	1.22	647
Pre-Lockdown	8902.3	16360.9	9750	7458.6	0.673	280
Lockdown	8443.7	16355	10875	7911.3	0.244	5
Lockdown	5814.3	16352.8	11437.5	10538.5	0.487	31
Lockdown	4265.8	16345.5	7125	12079.7	0.467	14
Pre-Lockdown	4833.7	16342.6	12207	11508.9	1.216	629
Pre-Lockdown	6265.5	16335.1	16113.3	10069.6	0.844	387
Pre-Lockdown	6799.1	16317.8	9277.3	9518.7	0.507	248
Pre-Lockdown	5950.7	16309.4	7875	10358.7	0.628	70
Lockdown	12657.3	16300.5	14156.2	3643.2	0.668	51
Pre-Lockdown	2984.5	16300.2	11718.8	13315.6	0.773	445
Lockdown	6123.6	16278.9	11250	10155.3	0.861	47
Pre-Lockdown	4994.1	16276.9	6000	11282.9	0.931	380
Pre-Lockdown	6327.8	16271.5	16113.3	9943.7	0.672	229
Lockdown	6538.2	16265.8	7968.8	9727.6	0.733	75
Pre-Lockdown	4971.7	16253.5	15375	11281.8	1.103	448
Pre-Lockdown	4288.8	16245.5	5062.5	11956.7	1.962	222
Pre-Lockdown	13051.4	16238.3	14648.4	3186.9	0.166	23
Pre-Lockdown	3450.6	16191.3	13183.6	12740.7	0.628	354
Pre-Lockdown	6970.7	16172	11230.5	9201.3	0.655	358
Pre-Lockdown	4870.1	16168.8	6445.3	11298.7	0.642	112
Pre-Lockdown	3522.1	16160.2	3808.6	12638.1	0.983	236
Pre-Lockdown	7156.3	16152.7	9375	8996.4	1.942	336
Lockdown	5776.3	16149.2	10218.8	10372.9	0.53	27
Pre-Lockdown	4899.1	16126.3	12207	11227.2	0.834	423
Pre-Lockdown	10000	16111.1	12304.7	6111.1	0.489	149
Lockdown	4505	16106.3	13125	11601.3	1.046	63
Lockdown	5302.3	16106.3	16031.2	10804	1.046	101
Pre-Lockdown	6503.2	16103.2	8437.5	9600	0.435	76
Pre-Lockdown	5467.3	16098.2	9277.3	10630.9	1.615	678
Lockdown	7771.8	16067.1	9843.8	8295.3	0.536	27
Lockdown	4106.3	16066.4	15187.5	11960.1	0.538	23
Lockdown	5063.1	16066.4	10312.5	11003.3	0.874	76
Pre-Lockdown	4239.7	16050.5	13125	11810.7	1.815	403
Pre-Lockdown	4763.4	16036.9	14941.4	11273.5	1.756	532
Lockdown	4352.5	16027.1	7500	11674.6	1.974	161
Lockdown	5898.3	16027.1	11343.8	10128.8	1.771	124
Lockdown	5613.6	16027.1	6468.8	10413.6	0.56	57
Pre-Lockdown	7063.9	16023	7125	8959.1	0.59	172
Lockdown	7759.1	16012.7	11531.2	8253.6	0.552	30
Pre-Lockdown	6083.8	16010	6375	9926.2	1.094	374
Pre-Lockdown	5036.4	15985.2	10687.5	10948.8	1.611	233
Lockdown	8633.9	15974.6	12093.8	7340.7	0.624	21
Pre-Lockdown	4324.8	15947.7	11230.5	11622.9	1.47	681
Pre-Lockdown	2973.3	15947.7	10253.9	12974.4	0.954	430
Lockdown	5382.1	15946.8	7875	10564.8	1.948	73
Lockdown	8900.2	15936.6	11718.8	7036.5	0.37	15
Lockdown	8862.1	15898.6	11531.2	7036.5	0.71	27
Pre-Lockdown	5063.9	15882.3	13183.6	10818.4	0.179	88
Pre-Lockdown	4421.1	15875.7	5440.8	11454.6	2.105	313
Pre-Lockdown	3328	15872	13125	12544	0.346	103
Pre-Lockdown	13966.9	15867.4	15562.5	1900.6	0.208	5
Lockdown	6817.3	15867.1	12281.2	9049.8	0.509	39
Pre-Lockdown	5580.1	15847.4	12695.3	10267.3	0.956	379
Lockdown	4303.1	15837.3	8531.2	11534.2	2.313	183
Lockdown	2969.1	15835.1	9000	12866	1.156	79
